START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
03/03/15,01:05 PM,01:05 PM,Huskies at Red Sox,JetBlue Park,"Local Radio: WEEI 850",03/03/15,03/03/15,04:05 PM,04:05 PM,FALSE,TRUE,03/03/15,12:05 PM,12:05 PM,FREE,BUSY
03/03/15,01:05 PM,01:05 PM,Eagles at Red Sox,JetBlue Park,"Local Radio: WEEI 850",03/03/15,03/03/15,04:05 PM,04:05 PM,FALSE,TRUE,03/03/15,12:05 PM,12:05 PM,FREE,BUSY
03/06/15,01:05 PM,01:05 PM,Marlins at Red Sox,JetBlue Park,,03/06/15,03/06/15,04:05 PM,04:05 PM,FALSE,TRUE,03/06/15,12:05 PM,12:05 PM,FREE,BUSY
03/07/15,01:05 PM,01:05 PM,Twins at Red Sox,JetBlue Park,"Local Radio: WEEI 93.7",03/07/15,03/07/15,04:05 PM,04:05 PM,FALSE,TRUE,03/07/15,12:05 PM,12:05 PM,FREE,BUSY
03/10/15,01:05 PM,01:05 PM,Rays at Red Sox,JetBlue Park,,03/10/15,03/10/15,04:05 PM,04:05 PM,FALSE,TRUE,03/10/15,12:05 PM,12:05 PM,FREE,BUSY
03/13/15,07:05 PM,07:05 PM,Yankees at Red Sox,JetBlue Park,"Local TV: MLBN -- NESN ----- Local Radio: WEEI 93.7",03/13/15,03/13/15,10:05 PM,10:05 PM,FALSE,TRUE,03/13/15,06:05 PM,06:05 PM,FREE,BUSY
03/14/15,01:05 PM,01:05 PM,Pirates at Red Sox,JetBlue Park,"Local Radio: WEEI 93.7",03/14/15,03/14/15,04:05 PM,04:05 PM,FALSE,TRUE,03/14/15,12:05 PM,12:05 PM,FREE,BUSY
03/16/15,01:05 PM,01:05 PM,Mets at Red Sox,JetBlue Park,,03/16/15,03/16/15,04:05 PM,04:05 PM,FALSE,TRUE,03/16/15,12:05 PM,12:05 PM,FREE,BUSY
03/17/15,01:05 PM,01:05 PM,Braves at Red Sox,JetBlue Park,"Local TV: MLBN -- NESN",03/17/15,03/17/15,04:05 PM,04:05 PM,FALSE,TRUE,03/17/15,12:05 PM,12:05 PM,FREE,BUSY
03/18/15,01:05 PM,01:05 PM,Twins at Red Sox,JetBlue Park,,03/18/15,03/18/15,04:05 PM,04:05 PM,FALSE,TRUE,03/18/15,12:05 PM,12:05 PM,FREE,BUSY
03/20/15,01:05 PM,01:05 PM,Orioles at Red Sox,JetBlue Park,,03/20/15,03/20/15,04:05 PM,04:05 PM,FALSE,TRUE,03/20/15,12:05 PM,12:05 PM,FREE,BUSY
03/22/15,01:05 PM,01:05 PM,Phillies at Red Sox,JetBlue Park,"Local TV: MLBN (delay) -- NESN ----- Local Radio: WEEI 93.7",03/22/15,03/22/15,04:05 PM,04:05 PM,FALSE,TRUE,03/22/15,12:05 PM,12:05 PM,FREE,BUSY
